FID_,FID_IraqDe,Category,Coalition_,Coalition1,Iraq_force,Iraq_for_1,Civilian_w,Civilian_k,Enemy_wia,Enemy_kia,Enemy_deta,Total_deat,Latitude,Longitude,urban_id,urban,Date_,Am_YES,Am_NO,Am_NA
,11680,Direct Fire,0,0,1,1,0,0,0,0,0,1,33.54417,44.198399,-1,0,12/31/09,,,
,21559,IED Explosion,0,0,0,0,0,1,0,0,0,1,33.731911,44.60923,11,1,12/31/09,,,
,11679,Direct Fire,0,0,1,1,0,0,0,0,0,1,33.367435,44.369003,9,1,12/30/09,,,
,21557,IED Explosion,2,0,46,3,27,23,0,2,0,28,33.425579,43.29343,10,1,12/30/09,,,
,21558,IED Explosion,0,0,4,0,20,7,0,0,2,7,33.874081,44.515594,-1,0,12/30/09,,,
,11678,Direct Fire,0,0,0,0,0,4,0,0,1,4,33.62043,44.209843,-1,0,12/29/09,,,
,21556,IED Explosion,0,0,2,1,0,0,0,0,0,1,33.741726,45.423203,-1,0,12/29/09,,,
,21555,IED Explosion,0,0,1,0,14,4,0,0,0,4,34.883793,44.625633,-1,0,12/27/09,,,
,21552,IED Explosion,0,0,0,0,0,1,0,0,0,1,32.826569,44.26495,-1,0,12/26/09,,,
,21553,IED Explosion,0,0,0,0,1,1,0,0,0,1,33.238625,44.403206,9,1,12/26/09,,,
,21551,IED Explosion,0,0,0,0,0,1,0,0,0,1,33.300728,44.108604,9,1,12/26/09,,,
,21554,IED Explosion,0,0,0,0,6,2,0,0,0,2,33.333366,44.49239,9,1,12/26/09,,,
,11677,Assassination,0,0,0,1,0,0,0,0,0,1,33.356747,44.39595,9,1,12/26/09,,,
,21550,Unknown Explosion,0,0,0,1,15,4,0,0,0,5,33.392216,44.525272,9,1,12/25/09,,,
,21549,IED Explosion,0,0,11,1,0,0,0,0,7,1,36.712318,41.987179,-1,0,12/25/09,,,
,21546,IED Explosion,0,0,0,0,70,9,0,0,0,9,32.456226,44.425472,8,1,12/24/09,,,
,21548,IED Explosion,0,0,0,0,4,1,0,0,0,1,33.377415,44.478695,9,1,12/24/09,,,
,21547,IED Explosion,0,0,0,0,23,4,0,0,0,4,33.385227,44.470005,9,1,12/24/09,,,
,11676,Direct Fire,0,0,2,1,0,0,0,0,0,1,35.582512,43.283752,-1,0,12/24/09,,,
,11675,Direct Fire,0,0,0,4,0,0,0,0,0,4,33.329411,44.153614,9,1,12/23/09,,,
,21544,IED Explosion,0,0,0,0,10,4,0,0,0,4,33.331039,44.497131,9,1,12/23/09,,,
,21543,IED Explosion,0,0,0,0,0,1,0,0,0,1,33.354992,43.790276,10,1,12/23/09,,,
,21545,IED Explosion,0,0,0,1,0,0,0,0,0,1,35.473381,44.412502,15,1,12/23/09,,,
,21542,IED Explosion,0,0,0,0,5,2,0,0,0,2,36.339161,43.124687,20,1,12/23/09,,,
,21540,IED Explosion,0,0,0,0,4,1,0,0,0,1,32.883133,44.383148,-1,0,12/22/09,,,
,21539,IED Explosion,0,0,0,0,1,1,0,0,0,1,32.887466,44.347839,-1,0,12/22/09,,,
,21541,IED Explosion,0,0,0,1,0,1,0,0,5,2,33.72179,44.647396,11,1,12/22/09,,,
,21536,IED Explosion,0,0,0,0,1,1,0,0,0,1,33.336887,44.360477,9,1,12/21/09,,,
,21538,IED Explosion,0,0,0,1,0,0,0,0,0,1,33.350964,43.780293,10,1,12/21/09,,,
,21535,IED Explosion,0,0,0,0,0,1,0,0,0,1,33.403954,43.911713,10,1,12/21/09,,,
,21537,IED Explosion,0,0,0,1,6,1,0,1,0,3,36.384708,42.467014,18,1,12/21/09,,,
,11674,Direct Fire,0,0,0,0,0,3,0,1,0,4,33.045712,44.25671,-1,0,12/18/09,,,
,11673,Direct Fire,0,0,0,1,0,0,0,0,0,1,33.237507,44.360279,9,1,12/17/09,,,
,21534,IED Explosion,0,0,2,1,1,0,0,0,0,1,33.698116,44.357426,-1,0,12/17/09,,,
,21533,IED Explosion,0,0,0,0,5,1,0,0,0,1,32.726322,44.655296,-1,0,12/16/09,,,
,21531,IED Explosion,0,0,0,0,3,1,0,0,0,1,33.084236,44.613327,-1,0,12/16/09,,,
,21532,IED Explosion,0,0,0,0,4,2,0,0,0,2,33.380512,44.317089,9,1,12/16/09,,,
,11671,Direct Fire,0,0,0,1,0,0,0,0,0,1,35.797165,43.290215,-1,0,12/16/09,,,
,11672,Direct Fire,0,0,0,1,0,0,0,0,0,1,36.381779,43.199467,20,1,12/16/09,,,
,11669,Direct Fire,0,0,0,1,0,0,0,0,0,1,36.304897,43.182304,20,1,12/15/09,,,
,11670,Direct Fire,0,0,0,1,0,0,0,0,0,1,36.348709,43.159,20,1,12/15/09,,,
,21530,IED Explosion,0,0,1,0,31,1,0,0,0,1,36.352699,43.120014,20,1,12/15/09,,,
,21528,IED Found/Cleared,0,0,0,1,0,0,0,0,1,1,33.385612,43.91394,10,1,12/14/09,,,
,21529,IED Explosion,0,0,0,3,0,0,0,0,0,3,35.499832,44.299843,15,1,12/14/09,,,
,11668,Direct Fire,0,0,0,1,0,0,0,0,0,1,36.35231,43.100967,20,1,12/14/09,,,
,21527,IED Explosion,0,0,2,1,2,0,0,0,0,1,33.178879,43.856583,-1,0,12/13/09,,,
,21526,IED Explosion,0,0,0,1,8,2,0,0,0,3,33.334492,43.775291,10,1,12/13/09,,,
,21525,IED Explosion,0,0,0,0,18,1,0,0,0,1,36.353451,43.246365,20,1,12/13/09,,,
,21524,IED Explosion,0,0,0,0,1,1,0,0,0,1,33.17308,44.022896,-1,0,12/12/09,,,
,21523,IED Explosion,0,0,2,4,0,0,0,0,0,4,35.430702,44.353321,15,1,12/12/09,,,
,21522,IED Explosion,0,0,0,0,12,7,0,0,6,7,33.022522,44.156258,-1,0,12/11/09,,,
,21521,IED Explosion,0,0,0,0,6,3,0,0,0,3,33.374771,44.392601,9,1,12/9/09,,,
,11667,Sniper Ops,0,0,0,1,0,0,0,0,0,1,33.38018,44.373966,9,1,12/9/09,,,
,21516,IED Explosion,0,0,2,1,0,0,0,0,0,1,33.256172,44.396729,9,1,12/8/09,,,
,21520,IED Explosion,0,0,0,0,111,8,0,1,0,9,33.316929,44.36937,9,1,12/8/09,,,
,21517,IED Explosion,0,0,0,0,3,1,0,0,0,1,33.344254,43.795326,10,1,12/8/09,,,
,21518,IED Explosion,0,0,0,0,80,20,0,0,0,20,33.344807,44.389156,9,1,12/8/09,,,
,21519,IED Explosion,0,0,0,0,10,21,0,0,0,21,33.37392,44.384975,9,1,12/8/09,,,
,11666,Direct Fire,0,0,0,0,0,5,0,0,0,5,33.634212,44.233322,-1,0,12/7/09,,,
,21514,Mine Strike,0,0,0,0,0,1,0,0,0,1,34.515781,43.712261,14,1,12/7/09,,,
,21515,IED Explosion,0,0,4,1,0,0,0,0,0,1,36.344131,43.213703,20,1,12/7/09,,,
,21511,IED Explosion,0,0,0,0,5,1,0,0,0,1,32.819572,44.230804,-1,0,12/6/09,,,
,11665,Direct Fire,0,0,0,4,0,0,0,0,0,4,33.309853,44.197811,9,1,12/6/09,,,
,21513,IED Explosion,0,0,0,0,1,1,0,0,0,1,33.675743,44.373665,-1,0,12/6/09,,,
,21512,IED Explosion,0,0,0,0,2,1,0,0,0,1,35.071095,43.983265,-1,0,12/6/09,,,
,11664,Direct Fire,0,0,0,0,2,2,0,0,0,2,33.196659,44.667778,-1,0,12/4/09,,,
,21510,IED Explosion,0,0,0,0,0,1,0,0,0,1,33.297821,44.058025,9,1,12/4/09,,,
,21509,IED Explosion,0,0,1,4,6,1,0,0,0,5,34.603176,43.680161,14,1,12/3/09,,,
,11663,Direct Fire,0,0,3,2,0,0,0,0,0,2,36.269569,42.701141,-1,0,12/3/09,,,
,21508,IED Explosion,0,0,0,0,1,1,0,0,0,1,33.246944,44.417877,9,1,12/1/09,,,
,21507,IED Explosion,0,0,0,0,1,1,0,0,0,1,33.736023,44.460159,-1,0,11/28/09,,,
,21506,IED Pre-detonation,0,0,0,0,0,0,0,1,0,1,36.307644,43.115196,20,1,11/27/09,,,
,21505,IED Explosion,0,0,0,1,4,0,0,0,0,1,32.779522,44.287014,-1,0,11/26/09,,,
,21503,IED Explosion,0,0,0,0,2,1,0,0,0,1,33.123856,44.360031,9,1,11/26/09,,,
,21502,IED Explosion,0,0,0,0,0,1,0,0,0,1,33.390102,44.392494,9,1,11/26/09,,,
,21504,IED Explosion,0,0,0,0,1,1,0,0,0,1,34.193333,45.129154,-1,0,11/26/09,,,
,21500,IED Explosion,0,0,0,0,1,1,0,0,0,1,33.229614,44.405411,9,1,11/24/09,,,
,21501,IED Explosion,0,0,0,0,2,1,0,0,0,1,33.397518,43.682358,10,1,11/24/09,,,
,11662,Sniper Ops,0,1,0,0,0,0,0,0,0,1,32.556286,45.403065,-1,0,11/22/09,,,
,21499,IED Found/Cleared,0,0,0,0,0,0,0,1,0,1,34.396637,40.99572,-1,0,11/22/09,,,
,11661,Direct Fire,0,0,2,0,1,1,0,0,0,1,36.344692,43.132351,20,1,11/22/09,,,
,21498,IED Explosion,0,0,1,1,0,0,0,0,0,1,33.30534,44.431519,9,1,11/21/09,,,
,21496,IED Explosion,0,0,0,0,0,1,0,0,0,1,32.880428,44.383167,-1,0,11/20/09,,,
,21497,IED Explosion,0,0,0,0,0,0,0,1,0,1,35.425629,44.419456,15,1,11/20/09,,,
,21493,IED Explosion,0,0,0,0,6,3,0,0,0,3,33.066502,44.124771,-1,0,11/16/09,,,
,21494,IED Explosion,0,0,0,2,0,0,0,0,0,2,33.325954,44.352756,9,1,11/16/09,,,
,21495,IED Explosion,0,0,0,0,6,6,0,0,0,6,35.466633,44.397121,15,1,11/16/09,,,
,21492,IED Explosion,0,0,0,0,0,1,0,0,0,1,32.930058,44.224522,-1,0,11/15/09,,,
,21489,IED Explosion,0,0,1,2,0,0,0,0,0,2,33.769833,45.377983,-1,0,11/15/09,,,
